movieId,title,year,genres,userId,rating
1,Dangerous Minds,1995,Drama,1,2.5
2,Dumbo,1941,Animation|Children|Drama|Musical,1,3
3,Sleepers,1996,Thriller,1,3
4,Escape from New York,1981,Action|Adventure|Sci-Fi|Thriller,1,2
5,Cinema Paradiso (Nuovo cinema Paradiso),1989,Drama,1,4
6,"Deer Hunter, The",1978,Drama|War,1,2
7,Ben-Hur,1959,Action|Adventure|Drama,1,2
8,Gandhi,1982,Drama,1,2
9,Dracula (Bram Stoker's Dracula),1992,Fantasy|Horror|Romance|Thriller,1,3.5
10,Cape Fear,1991,Thriller,1,2
11,Star Trek: The Motion Picture,1979,Adventure|Sci-Fi,1,2.5
12,Beavis and Butt-Head Do America,1996,Adventure|Animation|Comedy|Crime,1,1
13,"French Connection, The",1971,Action|Crime|Thriller,1,4
14,Tron,1982,Action|Adventure|Sci-Fi,1,4
15,"Gods Must Be Crazy, The",1980,Adventure|Comedy,1,3
16,Willow,1988,Action|Adventure|Fantasy,1,2
17,Antz,1998,Adventure|Animation|Children|Comedy|Fantasy,1,2
18,"Fly, The",1986,Drama|Horror|Sci-Fi|Thriller,1,2.5
19,Time Bandits,1981,Adventure|Comedy|Fantasy|Sci-Fi,1,1
20,Blazing Saddles,1974,Comedy|Western,1,3
21,GoldenEye,1995,Action|Adventure|Thriller,2,4
22,Sense and Sensibility,1995,Drama|Romance,2,5
23,Clueless,1995,Comedy|Romance,2,5
24,Seven (a.k.a. Se7en),1995,Mystery|Thriller,2,4
25,"Usual Suspects, The",1995,Crime|Mystery|Thriller,2,4
26,Mighty Aphrodite,1995,Comedy|Drama|Romance,2,3
27,Mr. Holland's Opus,1995,Drama,2,3
28,Braveheart,1995,Action|Drama|War,2,4
29,"Brothers McMullen, The",1995,Comedy,2,3
30,Apollo 13,1995,Adventure|Drama|IMAX,2,5
31,Batman Forever,1995,Action|Adventure|Comedy|Crime,2,4
32,Crimson Tide,1995,Drama|Thriller|War,2,3
33,Die Hard: With a Vengeance,1995,Action|Crime|Thriller,2,3
34,First Knight,1995,Action|Drama|Romance,2,3
35,"Net, The",1995,Action|Crime|Thriller,2,3
36,Nine Months,1995,Comedy|Romance,2,3
37,Waterworld,1995,Action|Adventure|Sci-Fi,2,3
38,Circle of Friends,1995,Drama|Romance,2,5
39,Clerks,1994,Comedy,2,1
40,Disclosure,1994,Drama|Thriller,2,3
41,Ed Wood,1994,Comedy|Drama,2,3
42,Houseguest,1994,Comedy,2,3
43,Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror,2,4
44,Little Women,1994,Drama,2,4
45,Like Water for Chocolate (Como agua para chocolate),1992,Drama|Fantasy|Romance,2,5
